instruction,category,run,first_pass_classification,first_pass_repair_outcome,retry_attempted,retry_classification,retry_repair_outcome,final_classification
"Chart this data for me: apples 5, oranges 3, bananas 7",chart_keyword_clear,1,MATCH,trailing_garbage_removed,False,,,MATCH
"Chart this data for me: apples 5, oranges 3, bananas 7",chart_keyword_clear,2,MATCH,trailing_garbage_removed,False,,,MATCH
"Chart this data for me: apples 5, oranges 3, bananas 7",chart_keyword_clear,3,MATCH,trailing_garbage_removed,False,,,MATCH
"Make a bar chart of Q3 revenue by region: North 120, South 90, East 150, West 80",chart_keyword_clear,1,MALFORMED_ENVELOPE,unrepairable,True,MALFORMED_ENVELOPE,unrepairable,MALFORMED_ENVELOPE
"Make a bar chart of Q3 revenue by region: North 120, South 90, East 150, West 80",chart_keyword_clear,2,MALFORMED_ENVELOPE,unrepairable,True,MATCH,trailing_garbage_removed,MATCH
"Make a bar chart of Q3 revenue by region: North 120, South 90, East 150, West 80",chart_keyword_clear,3,MALFORMED_ENVELOPE,unrepairable,True,MALFORMED_ENVELOPE,unrepairable,MALFORMED_ENVELOPE
"Plot the last 5 months of signups: Jan 10, Feb 15, Mar 22, Apr 18, May 30",chart_keyword_clear,1,MALFORMED_ENVELOPE,unrepairable,True,MATCH,no_repair_needed,MATCH
"Plot the last 5 months of signups: Jan 10, Feb 15, Mar 22, Apr 18, May 30",chart_keyword_clear,2,MALFORMED_ENVELOPE,unrepairable,True,MATCH,no_repair_needed,MATCH
"Plot the last 5 months of signups: Jan 10, Feb 15, Mar 22, Apr 18, May 30",chart_keyword_clear,3,MALFORMED_ENVELOPE,unrepairable,True,MALFORMED_ENVELOPE,unrepairable,MALFORMED_ENVELOPE
"Can you graph these numbers? 12, 19, 8, 24, 16",chart_keyword_clear,1,MISS,no_repair_needed,False,,,MISS
"Can you graph these numbers? 12, 19, 8, 24, 16",chart_keyword_clear,2,MISS,no_repair_needed,False,,,MISS
"Can you graph these numbers? 12, 19, 8, 24, 16",chart_keyword_clear,3,MISS,no_repair_needed,False,,,MISS
"Visualize this: rent 40, food 25, transport 15, other 20",chart_keyword_clear,1,MATCH,no_repair_needed,False,,,MATCH
"Visualize this: rent 40, food 25, transport 15, other 20",chart_keyword_clear,2,MATCH,no_repair_needed,False,,,MATCH
