instruction,category,run,planner_tools_to_call,planner_priority,gemma_raw_output,gemma_parsed_tool,gemma_parsed_args,schema_problems,classification
"Chart this data for me: apples 5, oranges 3, bananas 7",chart_keyword_clear,1,,6,"
{""tool_call"": {""name"": ""generate_chart"", ""arguments"": {""chart_type"": ""pie"", ""title"": ""Fruit Counts"", ""labels"": [""apples"", ""oranges"", ""bananas""], ""datasets"": [{""label"": ""Count"", ""data"": [5, 3, 7]}]}}}",generate_chart,"{""chart_type"": ""pie"", ""title"": ""Fruit Counts"", ""labels"": [""apples"", ""oranges"", ""bananas""], ""datasets"": [{""label"": ""Count"", ""data"": [5, 3, 7]}]}",,MATCH
"Chart this data for me: apples 5, oranges 3, bananas 7",chart_keyword_clear,2,,6,"
{""tool_call"": {""name"": ""generate_chart"", ""arguments"": {""chart_type"": ""pie"", ""title"": ""Fruit Counts"", ""labels"": [""apples"", ""oranges"", ""bananas""], ""datasets"": [{""label"": ""Count"", ""data"": [5, 3, 7]}]}}}",generate_chart,"{""chart_type"": ""pie"", ""title"": ""Fruit Counts"", ""labels"": [""apples"", ""oranges"", ""bananas""], ""datasets"": [{""label"": ""Count"", ""data"": [5, 3, 7]}]}",,MATCH
"Chart this data for me: apples 5, oranges 3, bananas 7",chart_keyword_clear,3,,6,"
{""tool_call"": {""name"": ""generate_chart"", ""arguments"": {""chart_type"": ""pie"", ""title"": ""Fruit Counts"", ""labels"": [""apples"", ""oranges"", ""bananas""], ""datasets"": [{""label"": ""Count"", ""data"": [5, 3, 7]}]}}}",generate_chart,"{""chart_type"": ""pie"", ""title"": ""Fruit Counts"", ""labels"": [""apples"", ""oranges"", ""bananas""], ""datasets"": [{""label"": ""Count"", ""data"": [5, 3, 7]}]}",,MATCH
"Make a bar chart of Q3 revenue by region: North 120, South 90, East 150, West 80",chart_keyword_clear,1,,6,"
{""tool_call"": {""name"": ""generate_chart"", ""arguments"": {""chart_type"": ""bar"", ""title"": ""Q3 Revenue by Region"", ""labels"": [""North"", ""South"", ""East"", ""West""], ""datasets"": [{""label"": ""Revenue"", ""data"": [120, 90, 150, 80]}]だろう}}}",,,,MALFORMED_ENVELOPE
"Make a bar chart of Q3 revenue by region: North 120, South 90, East 150, West 80",chart_keyword_clear,2,,6,"
{""tool_call"": {""name"": ""generate_chart"", ""arguments"": {""chart_type"": ""bar"", ""title"": ""Q3 Revenue by Region"", ""labels"": [""North"", ""South"", ""East"", ""West""], ""datasets"": [{""label"": ""Revenue"", ""data"": [120, 90, 150, 80]}]だろう}}}",,,,MALFORMED_ENVELOPE
"Make a bar chart of Q3 revenue by region: North 120, South 90, East 150, West 80",chart_keyword_clear,3,,6,"
{""tool_call"": {""name"": ""generate_chart"", ""arguments"": {""chart_type"": ""bar"", ""title"": ""Q3 Revenue by Region"", ""labels"": [""North"", ""South"", ""East"", ""West""], ""datasets"": [{""label"": ""Revenue"", ""data"": [120, 90, 150, 80]}]だろう}}}",,,,MALFORMED_ENVELOPE
"Plot the last 5 months of signups: Jan 10, Feb 15, Mar 22, Apr 18, May 30",chart_keyword_clear,1,,6,"
{""tool_call"": {""name"": ""generate_chart"", ""arguments"": {""chart_type"": ""bar"", ""title"": ""Last 5 Months Signups"", ""labels"": [""Jan"", ""Feb"", ""Mar"", ""Apr"", ""May""], ""datasets"": [{""label"": ""Signups"", ""data"": [10, 15",,,,MALFORMED_ENVELOPE
"Plot the last 5 months of signups: Jan 10, Feb 15, Mar 22, Apr 18, May 30",chart_keyword_clear,2,,6,"
{""tool_call"": {""name"": ""generate_chart"", ""arguments"": {""chart_type"": ""bar"", ""title"": ""Last 5 Months Signups"", ""labels"": [""Jan"", ""Feb"", ""Mar"", ""Apr"", ""May""], ""datasets"": [{""label"": ""Signups"", ""data"": [10, 15",,,,MALFORMED_ENVELOPE
"Plot the last 5 months of signups: Jan 10, Feb 15, Mar 22, Apr 18, May 30",chart_keyword_clear,3,,6,"
{""tool_call"": {""name"": ""generate_chart"", ""arguments"": {""chart_type"": ""bar"", ""title"": ""Last 5 Months Signups"", ""labels"": [""Jan"", ""Feb"", ""Mar"", ""Apr"", ""May""], ""datasets"": [{""label"": ""Signups"", ""data"": [10, 15",,,,MALFORMED_ENVELOPE
"Can you graph these numbers? 12, 19, 8, 24, 16",chart_keyword_clear,1,,6,"
{""tool_call"": null}",,,,MISS
"Can you graph these numbers? 12, 19, 8, 24, 16",chart_keyword_clear,2,,6,"
{""tool_call"": null}",,,,MISS
"Can you graph these numbers? 12, 19, 8, 24, 16",chart_keyword_clear,3,,6,"
{""tool_call"": null}",,,,MISS
"Visualize this: rent 40, food 25, transport 15, other 20",chart_keyword_clear,1,,6,"
{""tool_call"": {""name"": ""generate_chart"", ""arguments"": {""chart_type"": ""pie"", ""labels"": [""Rent"", ""Food"", ""Transport"", ""Other""], ""datasets"": [{""label"": ""Expenses"", ""data"": [40, 25, 15, 20]}]}}}",generate_chart,"{""chart_type"": ""pie"", ""labels"": [""Rent"", ""Food"", ""Transport"", ""Other""], ""datasets"": [{""label"": ""Expenses"", ""data"": [40, 25, 15, 20]}]}",,MATCH
"Visualize this: rent 40, food 25, transport 15, other 20",chart_keyword_clear,2,,6,"
{""tool_call"": {""name"": ""generate_chart"", ""arguments"": {""chart_type"": ""pie"", ""labels"": [""Rent"", ""Food"", ""Transport"", ""Other""], ""datasets"": [{""label"": ""Expenses"", ""data"": [40, 25, 15, 20]}]}}}",generate_chart,"{""chart_type"": ""pie"", ""labels"": [""Rent"", ""Food"", ""Transport"", ""Other""], ""datasets"": [{""label"": ""Expenses"", ""data"": [40, 25, 15, 20]}]}",,MATCH
"Visualize this: rent 40, food 25, transport 15, other 20",chart_keyword_clear,3,,6,"
{""tool_call"": {""name"": ""generate_chart"", ""arguments"": {""chart_type"": ""pie"", ""labels"": [""Rent"", ""Food"", ""Transport"", ""Other""], ""datasets"": [{""label"": ""Expenses"", ""data"": [40, 25, 15, 20]}]}}}",generate_chart,"{""chart_type"": ""pie"", ""labels"": [""Rent"", ""Food"", ""Transport"", ""Other""], ""datasets"": [{""label"": ""Expenses"", ""data"": [40, 25, 15, 20]}]}",,MATCH
