instruction,category,run,gemma_raw_output,pre_repair_classification,repair_outcome,post_repair_classification,improved_by_repair
"Chart this data for me: apples 5, oranges 3, bananas 7",chart_keyword_clear,1,"
{""tool_call"": {""name"": ""generate_chart"", ""arguments"": {""chart_type"": ""bar"", ""title"": ""Fruit Counts"", ""labels"": [""apples"", ""oranges"", ""bananas""], ""datasets"": [{""label"": ""Count"", ""data"": [5, 3, 7]}]だろう}}}",MALFORMED_ENVELOPE,trailing_garbage_removed,MATCH,True
"Chart this data for me: apples 5, oranges 3, bananas 7",chart_keyword_clear,2,"
{""tool_call"": {""name"": ""generate_chart"", ""arguments"": {""chart_type"": ""bar"", ""title"": ""Fruit Counts"", ""labels"": [""apples"", ""oranges"", ""bananas""], ""datasets"": [{""label"": ""Count"", ""data"": [5, 3, 7]}]だろう}}}",MALFORMED_ENVELOPE,trailing_garbage_removed,MATCH,True
"Chart this data for me: apples 5, oranges 3, bananas 7",chart_keyword_clear,3,"
{""tool_call"": {""name"": ""generate_chart"", ""arguments"": {""chart_type"": ""bar"", ""title"": ""Fruit Counts"", ""labels"": [""apples"", ""oranges"", ""bananas""], ""datasets"": [{""label"": ""Count"", ""data"": [5, 3, 7]}]だろう}}}",MALFORMED_ENVELOPE,trailing_garbage_removed,MATCH,True
"Make a bar chart of Q3 revenue by region: North 120, South 90, East 150, West 80",chart_keyword_clear,1,"
{""tool_call"": {""name"": ""generate_chart"", ""arguments"": {""chart_type"": ""bar"", ""title"": ""Q3 Revenue by Region"", ""labels"": [""North"", ""South"", ""East"", ""West""], ""datasets"": [{""label"": ""Revenue"", ""data"": [120, 90, 150, 80]}] ago}}",MALFORMED_ENVELOPE,unrepairable,MALFORMED_ENVELOPE,False
"Make a bar chart of Q3 revenue by region: North 120, South 90, East 150, West 80",chart_keyword_clear,2,"
{""tool_call"": {""name"": ""generate_chart"", ""arguments"": {""chart_type"": ""bar"", ""title"": ""Q3 Revenue by Region"", ""labels"": [""North"", ""South"", ""East"", ""West""], ""datasets"": [{""label"": ""Revenue"", ""data"": [120, 90, 150, 80]}] ago}}",MALFORMED_ENVELOPE,unrepairable,MALFORMED_ENVELOPE,False
"Make a bar chart of Q3 revenue by region: North 120, South 90, East 150, West 80",chart_keyword_clear,3,"
{""tool_call"": {""name"": ""generate_chart"", ""arguments"": {""chart_type"": ""bar"", ""title"": ""Q3 Revenue by Region"", ""labels"": [""North"", ""South"", ""East"", ""West""], ""datasets"": [{""label"": ""Revenue"", ""data"": [120, 90, 150, 80]}] ago}}",MALFORMED_ENVELOPE,unrepairable,MALFORMED_ENVELOPE,False
"Plot the last 5 months of signups: Jan 10, Feb 15, Mar 22, Apr 18, May 30",chart_keyword_clear,1,"
{""tool_call"": {""name"": ""generate_chart"", ""arguments"": {""chart_type"": ""bar"", ""title"": ""Last 5 Months Signups"", ""labels"": [""Jan"", ""Feb"", ""Mar"", ""Apr"", ""May""], ""datasets"": [{""label"": ""Signups"", ""data"": [10, 15, 22, 18, 30]}] ago}}",MALFORMED_ENVELOPE,unrepairable,MALFORMED_ENVELOPE,False
"Plot the last 5 months of signups: Jan 10, Feb 15, Mar 22, Apr 18, May 30",chart_keyword_clear,2,"
{""tool_call"": {""name"": ""generate_chart"", ""arguments"": {""chart_type"": ""bar"", ""title"": ""Last 5 Months Signups"", ""labels"": [""Jan"", ""Feb"", ""Mar"", ""Apr"", ""May""], ""datasets"": [{""label"": ""Signups"", ""data"": [10, 15, 22, 18, 30]}] ago}}",MALFORMED_ENVELOPE,unrepairable,MALFORMED_ENVELOPE,False
"Plot the last 5 months of signups: Jan 10, Feb 15, Mar 22, Apr 18, May 30",chart_keyword_clear,3,"
{""tool_call"": {""name"": ""generate_chart"", ""arguments"": {""chart_type"": ""bar"", ""title"": ""Last 5 Months Signups"", ""labels"": [""Jan"", ""Feb"", ""Mar"", ""Apr"", ""May""], ""datasets"": [{""label"": ""Signups"", ""data"": [10, 15, 22, 18, 30]}] ago}}",MALFORMED_ENVELOPE,unrepairable,MALFORMED_ENVELOPE,False
"Can you graph these numbers? 12, 19, 8, 24, 16",chart_keyword_clear,1,"
{""tool_call"": null}",MISS,no_repair_needed,MISS,False
