shape,model,temperature,prompt_chars,content_chars,done_reason,eval_count,prompt_eval_count,total_duration_ns,wall_s,zero_content,error
A_ungrounded_short,gemma4:31b-cloud,0.3,457,338,stop,79,138,4679039223,4.793,False,
A_ungrounded_short,gemma4:31b-cloud,0.3,431,271,stop,71,134,2683458668,2.801,False,
A_ungrounded_short,gemma4:31b-cloud,0.3,463,775,stop,169,142,3193514894,3.298,False,
A_ungrounded_short,gemma4:31b-cloud,0.3,449,372,stop,91,144,1554286522,1.664,False,
A_ungrounded_short,gemma4:31b-cloud,0.3,449,284,stop,68,144,2933660529,3.048,False,
A_ungrounded_short,gemma4:31b-cloud,0.3,449,230,stop,55,144,1701284139,1.821,False,
A_ungrounded_short,gemma4:e4b-mlx,0.3,457,0,length,200,136,9104157042,9.111,True,
A_ungrounded_short,gemma4:e4b-mlx,0.3,451,0,length,200,134,9124033250,9.129,True,
A_ungrounded_short,gemma4:e4b-mlx,0.3,461,0,length,200,137,10226116500,10.231,True,
A_ungrounded_short,gemma4:e4b-mlx,0.3,451,0,length,200,134,10297307708,10.302,True,
A_ungrounded_short,gemma4:e4b-mlx,0.3,463,0,length,200,140,10986216458,10.991,True,
A_ungrounded_short,gemma4:e4b-mlx,0.3,461,0,length,200,137,11019209834,11.024,True,
B_grounded_hacker_news,gemma4:31b-cloud,0.3,775,304,stop,64,227,2463726023,2.576,False,
B_grounded_hacker_news,gemma4:31b-cloud,0.3,782,331,stop,64,230,31144910080,31.273,False,
B_grounded_hacker_news,gemma4:31b-cloud,0.3,775,345,stop,82,227,1762159003,1.884,False,
B_grounded_hacker_news,gemma4:31b-cloud,0.3,820,375,stop,75,235,808728663,0.922,False,
B_grounded_hacker_news,gemma4:31b-cloud,0.3,790,404,stop,90,229,2042095734,2.164,False,
B_grounded_hacker_news,gemma4:31b-cloud,0.3,814,366,stop,80,243,3647473687,3.775,False,
B_grounded_hacker_news,gemma4:e4b-mlx,0.3,775,0,length,200,225,11276957458,11.282,True,
B_grounded_hacker_news,gemma4:e4b-mlx,0.3,788,0,length,200,231,9161637125,9.165,True,
B_grounded_hacker_news,gemma4:e4b-mlx,0.3,782,0,length,200,228,8609913291,8.615,True,
B_grounded_hacker_news,gemma4:e4b-mlx,0.3,814,0,length,200,241,10102867625,10.107,True,
B_grounded_hacker_news,gemma4:e4b-mlx,0.3,782,0,length,200,228,9759258333,9.764,True,
B_grounded_hacker_news,gemma4:e4b-mlx,0.3,790,0,length,200,227,9114808500,9.119,True,
C_grounded_web_search,gemma4:31b-cloud,0.3,791,913,length,200,217,1649752710,1.777,False,
C_grounded_web_search,gemma4:31b-cloud,0.3,794,592,stop,101,205,1054181429,1.186,False,
C_grounded_web_search,gemma4:31b-cloud,0.3,765,503,stop,99,210,2924375330,3.040,False,
C_grounded_web_search,gemma4:31b-cloud,0.3,791,925,length,200,217,1697878840,1.818,False,
C_grounded_web_search,gemma4:31b-cloud,0.3,765,463,stop,92,210,804442981,0.916,False,
C_grounded_web_search,gemma4:31b-cloud,0.3,791,979,length,200,217,1737012363,1.848,False,
C_grounded_web_search,gemma4:e4b-mlx,0.3,765,0,length,200,208,9805539625,9.809,True,
C_grounded_web_search,gemma4:e4b-mlx,0.3,765,0,length,200,208,9428336333,9.434,True,
C_grounded_web_search,gemma4:e4b-mlx,0.3,794,0,length,200,203,9328033500,9.333,True,
C_grounded_web_search,gemma4:e4b-mlx,0.3,791,0,length,200,215,9003982250,9.010,True,
C_grounded_web_search,gemma4:e4b-mlx,0.3,765,0,length,200,208,9477798166,9.484,True,
C_grounded_web_search,gemma4:e4b-mlx,0.3,791,0,length,200,215,9790220417,9.797,True,
D_ungrounded_long,gemma4:31b-cloud,0.3,7891,269,stop,45,1338,838306413,0.963,False,
D_ungrounded_long,gemma4:31b-cloud,0.3,7891,260,stop,44,1338,806729046,0.928,False,
D_ungrounded_long,gemma4:31b-cloud,0.3,7891,269,stop,45,1338,683617453,0.794,False,
D_ungrounded_long,gemma4:31b-cloud,0.3,7891,269,stop,45,1338,830470507,0.954,False,
D_ungrounded_long,gemma4:31b-cloud,0.3,7891,269,stop,45,1338,707360252,0.829,False,
D_ungrounded_long,gemma4:31b-cloud,0.3,7891,269,stop,45,1338,601609123,0.714,False,
D_ungrounded_long,gemma4:e4b-mlx,0.3,7891,0,length,200,1336,22339684042,22.345,True,
D_ungrounded_long,gemma4:e4b-mlx,0.3,7891,0,length,200,1336,21833119167,21.838,True,
D_ungrounded_long,gemma4:e4b-mlx,0.3,7891,0,length,200,1336,17836216667,17.842,True,
D_ungrounded_long,gemma4:e4b-mlx,0.3,7891,0,length,200,1336,16521372750,16.528,True,
D_ungrounded_long,gemma4:e4b-mlx,0.3,7891,0,length,200,1336,22256213292,22.261,True,
D_ungrounded_long,gemma4:e4b-mlx,0.3,7891,0,length,200,1336,15553287084,15.560,True,
A_ungrounded_short,gemma4:31b-cloud,0.0,457,380,stop,84,138,1073784471,1.346,False,
A_ungrounded_short,gemma4:31b-cloud,0.0,431,209,stop,44,134,995934555,1.114,False,
A_ungrounded_short,gemma4:31b-cloud,0.0,449,284,stop,66,144,786918113,0.906,False,
A_ungrounded_short,gemma4:31b-cloud,0.0,431,155,stop,35,134,442873189,0.561,False,
A_ungrounded_short,gemma4:31b-cloud,0.0,431,343,stop,68,134,55834450329,55.957,False,
A_ungrounded_short,gemma4:31b-cloud,0.7,451,0,stop,27,136,487899329,0.610,True,
A_ungrounded_short,gemma4:31b-cloud,0.7,463,838,length,200,142,2017628270,2.156,False,
A_ungrounded_short,gemma4:31b-cloud,0.7,463,520,stop,112,142,1444547613,1.563,False,
A_ungrounded_short,gemma4:31b-cloud,0.7,461,0,stop,28,139,414918490,0.533,True,
A_ungrounded_short,gemma4:31b-cloud,0.7,463,736,length,200,142,1566909527,1.686,False,
B_grounded_hacker_news,gemma4:31b-cloud,0.0,775,318,stop,75,227,862440995,0.991,False,
B_grounded_hacker_news,gemma4:31b-cloud,0.0,820,407,stop,87,235,807891976,0.928,False,
B_grounded_hacker_news,gemma4:31b-cloud,0.0,775,310,stop,65,227,665129365,0.809,False,
B_grounded_hacker_news,gemma4:31b-cloud,0.0,782,345,stop,72,230,801927207,0.941,False,
B_grounded_hacker_news,gemma4:31b-cloud,0.0,775,346,stop,81,227,1784731754,1.902,False,
B_grounded_hacker_news,gemma4:31b-cloud,0.7,788,418,stop,94,233,870578589,1.017,False,
B_grounded_hacker_news,gemma4:31b-cloud,0.7,788,392,stop,76,233,2638106755,2.757,False,
B_grounded_hacker_news,gemma4:31b-cloud,0.7,820,379,stop,87,235,831520297,0.953,False,
B_grounded_hacker_news,gemma4:31b-cloud,0.7,782,376,stop,82,230,1074367118,1.190,False,
B_grounded_hacker_news,gemma4:31b-cloud,0.7,782,357,stop,68,230,766353431,0.887,False,
