instruction,category,run,planner_tools_to_call,planner_priority,gemma_raw_output,gemma_parsed_tool,gemma_parsed_args,classification,control_arm_would_fire
Go head and look up the weather in Oceanside CA.,semantic_miss,1,,6,"
{""tool_call"": {""name"": ""web_search"", ""arguments"": {""query"": ""weather in Oceanside CA""}}}",web_search,"{""query"": ""weather in Oceanside CA""}",CATCH,True
Go head and look up the weather in Oceanside CA.,semantic_miss,2,,6,"
{""tool_call"": {""name"": ""web_search"", ""arguments"": {""query"": ""weather in Oceanside CA""}}}",web_search,"{""query"": ""weather in Oceanside CA""}",CATCH,True
Go head and look up the weather in Oceanside CA.,semantic_miss,3,,6,"
{""tool_call"": {""name"": ""web_search"", ""arguments"": {""query"": ""weather in Oceanside CA""}}}",web_search,"{""query"": ""weather in Oceanside CA""}",CATCH,True
Go head and look up the weather in Oceanside CA.,semantic_miss,4,,6,"
{""tool_call"": {""name"": ""web_search"", ""arguments"": {""query"": ""weather in Oceanside CA""}}}",web_search,"{""query"": ""weather in Oceanside CA""}",CATCH,True
Go head and look up the weather in Oceanside CA.,semantic_miss,5,,6,"
{""tool_call"": {""name"": ""web_search"", ""arguments"": {""query"": ""weather in Oceanside CA""}}}",web_search,"{""query"": ""weather in Oceanside CA""}",CATCH,True
Could you look into what the weather's like in Oceanside CA right now?,semantic_miss,1,,6,"
{""tool_call"": {""name"": ""web_search"", ""arguments"": {""query"": ""weather in Oceanside CA right now""}}}",web_search,"{""query"": ""weather in Oceanside CA right now""}",CATCH,True
Could you look into what the weather's like in Oceanside CA right now?,semantic_miss,2,,6,"
{""tool_call"": {""name"": ""web_search"", ""arguments"": {""query"": ""weather in Oceanside CA right now""}}}",web_search,"{""query"": ""weather in Oceanside CA right now""}",CATCH,True
Could you look into what the weather's like in Oceanside CA right now?,semantic_miss,3,,6,"
{""tool_call"": {""name"": ""web_search"", ""arguments"": {""query"": ""weather in Oceanside CA right now""}}}",web_search,"{""query"": ""weather in Oceanside CA right now""}",CATCH,True
Could you look into what the weather's like in Oceanside CA right now?,semantic_miss,4,,6,"
{""tool_call"": {""name"": ""web_search"", ""arguments"": {""query"": ""weather in Oceanside CA right now""}}}",web_search,"{""query"": ""weather in Oceanside CA right now""}",CATCH,True
Could you look into what the weather's like in Oceanside CA right now?,semantic_miss,5,,6,"
{""tool_call"": {""name"": ""web_search"", ""arguments"": {""query"": ""weather in Oceanside CA right now""}}}",web_search,"{""query"": ""weather in Oceanside CA right now""}",CATCH,True
Can you check what the weather is doing in Oceanside CA?,semantic_miss,1,,6,"
{""tool_call"": {""name"": ""web_search"", ""arguments"": {""query"": ""weather in Oceanside CA""}}}",web_search,"{""query"": ""weather in Oceanside CA""}",CATCH,False
Can you check what the weather is doing in Oceanside CA?,semantic_miss,2,,6,"
{""tool_call"": {""name"": ""web_search"", ""arguments"": {""query"": ""weather in Oceanside CA""}}}",web_search,"{""query"": ""weather in Oceanside CA""}",CATCH,False
Can you check what the weather is doing in Oceanside CA?,semantic_miss,3,,6,"
{""tool_call"": {""name"": ""web_search"", ""arguments"": {""query"": ""weather in Oceanside CA""}}}",web_search,"{""query"": ""weather in Oceanside CA""}",CATCH,False
Can you check what the weather is doing in Oceanside CA?,semantic_miss,4,,6,"
{""tool_call"": {""name"": ""web_search"", ""arguments"": {""query"": ""weather in Oceanside CA""}}}",web_search,"{""query"": ""weather in Oceanside CA""}",CATCH,False
Can you check what the weather is doing in Oceanside CA?,semantic_miss,5,,6,"
{""tool_call"": {""name"": ""web_search"", ""arguments"": {""query"": ""weather in Oceanside CA""}}}",web_search,"{""query"": ""weather in Oceanside CA""}",CATCH,False
Find out what's going on with the weather in Oceanside CA.,semantic_miss,1,,6,"
{""tool_call"": {""name"": ""web_search"", ""arguments"": {""query"": ""weather in Oceanside CA""}}}",web_search,"{""query"": ""weather in Oceanside CA""}",CATCH,True
